N,frame,theta,angular velocity,angular acc,time
0,0,0.205,0,0,0
0,1,0.204801,-0.0199496,-1.99496,0.01
0,2,0.204402,-0.03988,-1.99304,0.02
0,3,0.203804,-0.0597722,-1.98922,0.03
0,4,0.203008,-0.079607,-1.98348,0.04
0,5,0.202014,-0.0993654,-1.97584,0.05
0,6,0.200824,-0.119028,-1.9663,0.06
0,7,0.199438,-0.138577,-1.95487,0.07
0,8,0.197858,-0.157993,-1.94156,0.08
0,9,0.196086,-0.177257,-1.92638,0.09
0,10,0.194122,-0.19635,-1.90935,0.1
0,11,0.19197,-0.215255,-1.89047,0.11
0,12,0.18963,-0.233953,-1.86977,0.12
0,13,0.187106,-0.252425,-1.84726,0.13
0,14,0.184399,-0.270655,-1.82296,0.14
0,15,0.181513,-0.288624,-1.79689,0.15
0,16,0.17845,-0.306314,-1.76908,0.16
0,17,0.175213,-0.32371,-1.73954,0.17
0,18,0.171805,-0.340793,-1.70831,0.18
0,19,0.168229,-0.357547,-1.67542,0.19
0,20,0.16449,-0.373956,-1.64088,0.2
0,21,0.16059,-0.390003,-1.60474,0.21
0,22,0.156533,-0.405674,-1.56702,0.22
0,23,0.152324,-0.420951,-1.52777,0.23
0,24,0.147965,-0.435821,-1.48701,0.24
0,25,0.143463,-0.450269,-1.44478,0.25
0,26,0.13882,-0.46428,-1.40112,0.26
0,27,0.134042,-0.477841,-1.35607,0.27
0,28,0.129132,-0.490938,-1.30968,0.28
0,29,0.124097,-0.503558,-1.26198,0.29
0,30,0.11894,-0.515688,-1.21303,0.3
0,31,0.113667,-0.527316,-1.16286,0.31
0,32,0.108282,-0.538432,-1.11153,0.32
0,33,0.102792,-0.549023,-1.05909,0.33
0,34,0.0972012,-0.559079,-1.00559,0.34
0,35,0.0915153,-0.568589,-0.951072,0.35
0,36,0.0857398,-0.577545,-0.895598,0.36
0,37,0.0798805,-0.585937,-0.839221,0.37
0,38,0.0739429,-0.593757,-0.781996,0.38
0,39,0.0679329,-0.600997,-0.72398,0.39
0,40,0.0618564,-0.60765,-0.665231,0.4
0,41,0.0557193,-0.613708,-0.605806,0.41
0,42,0.0495277,-0.619165,-0.545767,0.42
0,43,0.0432875,-0.624017,-0.485173,0.43
0,44,0.0370049,-0.628258,-0.424085,0.44
0,45,0.0306861,-0.631884,-0.362566,0.45
0,46,0.0243372,-0.63489,-0.300677,0.46
0,47,0.0179644,-0.637275,-0.238481,0.47
0,48,0.0115741,-0.639036,-0.176042,0.48
0,49,0.00517239,-0.64017,-0.113424,0.49
0,50,-0.00123437,-0.640677,-0.0506892,0.5
0,51,-0.00763993,-0.640556,0.0120969,0.51
0,52,-0.014038,-0.639807,0.0748706,0.52
0,53,-0.0204223,-0.638431,0.137568,0.53
0,54,-0.0267866,-0.63643,0.200125,0.54
0,55,-0.0331247,-0.633805,0.262477,0.55
0,56,-0.0394303,-0.63056,0.324562,0.56
0,57,-0.0456972,-0.626696,0.386316,0.57
0,58,-0.0519194,-0.62222,0.447677,0.58
0,59,-0.0580908,-0.617134,0.508582,0.59
0,60,-0.0642052,-0.611444,0.568969,0.6
0,61,-0.0702568,-0.605156,0.628779,0.61
0,62,-0.0762395,-0.598277,0.68795,0.62
0,63,-0.0821477,-0.590813,0.746424,0.63
0,64,-0.0879754,-0.582771,0.804142,0.64
0,65,-0.093717,-0.574161,0.861047,0.65
0,66,-0.0993669,-0.56499,0.917083,0.66
0,67,-0.10492,-0.555268,0.972194,0.67
0,68,-0.11037,-0.545005,1.02633,0.68
0,69,-0.115712,-0.53421,1.07943,0.69
0,70,-0.120941,-0.522896,1.13145,0.7
0,71,-0.126051,-0.511073,1.18233,0.71
0,72,-0.131039,-0.498752,1.23204,0.72
0,73,-0.135898,-0.485947,1.28051,0.73
0,74,-0.140625,-0.47267,1.32771,0.74
0,75,-0.145214,-0.458934,1.37359,0.75
0,76,-0.149662,-0.444753,1.41811,0.76
0,77,-0.153963,-0.430141,1.46122,0.77
0,78,-0.158115,-0.415112,1.50289,0.78
0,79,-0.162111,-0.399681,1.54307,0.79
0,80,-0.16595,-0.383864,1.58174,0.8
0,81,-0.169627,-0.367675,1.61886,0.81
0,82,-0.173138,-0.351132,1.65438,0.82
0,83,-0.176481,-0.334249,1.68829,0.83
0,84,-0.179651,-0.317043,1.72055,0.84
0,85,-0.182646,-0.299532,1.75112,0.85
0,86,-0.185464,-0.281732,1.78,0.86
0,87,-0.1881,-0.263661,1.80714,0.87
0,88,-0.190554,-0.245335,1.83253,0.88
0,89,-0.192821,-0.226774,1.85614,0.89
0,90,-0.194901,-0.207994,1.87796,0.9
0,91,-0.196791,-0.189015,1.89796,0.91
0,92,-0.19849,-0.169853,1.91613,0.92
0,93,-0.199995,-0.150529,1.93245,0.93
0,94,-0.201306,-0.13106,1.94691,0.94
0,95,-0.20242,-0.111465,1.9595,0.95
0,96,-0.203338,-0.0917627,1.9702,0.96
0,97,-0.204058,-0.0719726,1.97901,0.97
0,98,-0.204579,-0.0521134,1.98592,0.98
0,99,-0.204901,-0.0322043,1.99092,0.99
0,100,-0.205024,-0.0122642,1.99401,1
0,101,-0.204947,0.00768768,1.99518,1.01
0,102,-0.20467,0.0276322,1.99445,1.02
0,103,-0.204195,0.0475501,1.9918,1.03
0,104,-0.203521,0.0674224,1.98723,1.04
0,105,-0.202648,0.0872301,1.98076,1.05
0,106,-0.201579,0.106954,1.97239,1.06
0,107,-0.200313,0.126575,1.96212,1.07
0,108,-0.198852,0.146075,1.94997,1.08
0,109,-0.197198,0.165434,1.93594,1.09
0,110,-0.195352,0.184635,1.92004,1.1
0,111,-0.193315,0.203658,1.90229,1.11
0,112,-0.19109,0.222485,1.88271,1.12
0,113,-0.188679,0.241098,1.86131,1.13
0,114,-0.186084,0.259479,1.83811,1.14
0,115,-0.183308,0.27761,1.81312,1.15
0,116,-0.180354,0.295474,1.78638,1.16
0,117,-0.177223,0.313053,1.7579,1.17
0,118,-0.17392,0.33033,1.72771,1.18
0,119,-0.170447,0.347288,1.69583,1.19
0,120,-0.166808,0.363911,1.6623,1.2
0,121,-0.163006,0.380183,1.62715,1.21
0,122,-0.159045,0.396087,1.59039,1.22
0,123,-0.154929,0.411607,1.55208,1.23
0,124,-0.150662,0.42673,1.51224,1.24
0,125,-0.146247,0.441439,1.47091,1.25
0,126,-0.14169,0.45572,1.42812,1.26
0,127,-0.136995,0.469559,1.38392,1.27
0,128,-0.132165,0.482943,1.33835,1.28
0,129,-0.127207,0.495857,1.29145,1.29
0,130,-0.122124,0.50829,1.24327,1.3
0,131,-0.116921,0.520228,1.19384,1.31
0,132,-0.111605,0.531661,1.14322,1.32
0,133,-0.106179,0.542575,1.09146,1.33
0,134,-0.100649,0.552961,1.0386,1.34
0,135,-0.0950213,0.562808,0.9847,1.35
0,136,-0.0893003,0.572106,0.929809,1.36
0,137,-0.0834918,0.580846,0.87398,1.37
0,138,-0.0776016,0.589019,0.81727,1.38
0,139,-0.0716355,0.596616,0.759733,1.39
0,140,-0.0655992,0.60363,0.701427,1.4
0,141,-0.0594986,0.610054,0.642411,1.41
0,142,-0.0533398,0.615882,0.582743,1.42
0,143,-0.0471287,0.621107,0.522482,1.43
0,144,-0.0408715,0.625724,0.461691,1.44
0,145,-0.0345742,0.629728,0.400429,1.45
0,146,-0.0282431,0.633116,0.33876,1.46
0,147,-0.0218842,0.635883,0.276745,1.47
0,148,-0.015504,0.638027,0.214448,1.48
0,149,-0.0091085,0.639547,0.151933,1.49
0,150,-0.0027041,0.640439,0.0892621,1.5
0,151,0.00370294,0.640704,0.0265002,1.51
0,152,0.0101064,0.640342,-0.0362887,1.52
0,153,0.0164999,0.639351,-0.0990406,1.53
0,154,0.0228772,0.637734,-0.161691,1.54
0,155,0.0292321,0.635492,-0.224177,1.55
0,156,0.0355584,0.632628,-0.286434,1.56
0,157,0.0418499,0.629144,-0.348399,1.57
0,158,0.0481003,0.625044,-0.410009,1.58
0,159,0.0543036,0.620332,-0.471201,1.59
0,160,0.0604537,0.615013,-0.531914,1.6
0,161,0.0665447,0.609092,-0.592086,1.61
0,162,0.0725704,0.602575,-0.651656,1.62
0,163,0.0785251,0.59547,-0.710566,1.63
0,164,0.0844029,0.587782,-0.768756,1.64
0,165,0.0901981,0.579521,-0.826167,1.65
0,166,0.0959051,0.570693,-0.882744,1.66
0,167,0.101518,0.561309,-0.93843,1.67
0,168,0.107032,0.551377,-0.99317,1.68
0,169,0.112441,0.540908,-1.04691,1.69
0,170,0.11774,0.529912,-1.0996,1.7
0,171,0.122924,0.5184,-1.15119,1.71
0,172,0.127988,0.506384,-1.20162,1.72
0,173,0.132927,0.493875,-1.25086,1.73
0,174,0.137736,0.480887,-1.29885,1.74
0,175,0.14241,0.467431,-1.34554,1.75
0,176,0.146945,0.453522,-1.3909,1.76
0,177,0.151337,0.439173,-1.43489,1.77
0,178,0.155581,0.424399,-1.47745,1.78
0,179,0.159673,0.409213,-1.51855,1.79
0,180,0.163609,0.393632,-1.55815,1.8
0,181,0.167386,0.37767,-1.59623,1.81
0,182,0.170999,0.361342,-1.63273,1.82
0,183,0.174446,0.344666,-1.66764,1.83
0,184,0.177723,0.327657,-1.70091,1.84
0,185,0.180826,0.310331,-1.73253,1.85
0,186,0.183753,0.292707,-1.76245,1.86
0,187,0.186501,0.2748,-1.79066,1.87
0,188,0.189067,0.256629,-1.81713,1.88
0,189,0.191449,0.238211,-1.84184,1.89
0,190,0.193645,0.219563,-1.86476,1.9
0,191,0.195652,0.200704,-1.88588,1.91
0,192,0.197469,0.181652,-1.90518,1.92
0,193,0.199093,0.162426,-1.92264,1.93
0,194,0.200523,0.143043,-1.93825,1.94
0,195,0.201759,0.123524,-1.95199,1.95
0,196,0.202797,0.103885,-1.96385,1.96
0,197,0.203639,0.0841469,-1.97382,1.97
0,198,0.204282,0.0643279,-1.9819,1.98
0,199,0.204727,0.0444472,-1.98807,1.99
0,200,0.204972,0.0245239,-1.99234,2
0,201,0.205018,0.00457701,-1.99469,2.01
0,202,0.204864,-0.0153743,-1.99513,2.02
0,203,0.204511,-0.0353108,-1.99365,2.03
0,204,0.203959,-0.0552134,-1.99026,2.04
0,205,0.203208,-0.0750631,-1.98497,2.05
0,206,0.20226,-0.0948407,-1.97776,2.06
0,207,0.201114,-0.114527,-1.96866,2.07
0,208,0.199773,-0.134104,-1.95766,2.08
0,209,0.198238,-0.153552,-1.94478,2.09
0,210,0.196509,-0.172852,-1.93003,2.1
0,211,0.194589,-0.191986,-1.91342,2.11
0,212,0.19248,-0.210936,-1.89496,2.12
0,213,0.190183,-0.229683,-1.87468,2.13
0,214,0.187701,-0.248208,-1.85258,2.14
0,215,0.185036,-0.266495,-1.82869,2.15
0,216,0.182191,-0.284526,-1.80302,2.16
0,217,0.179168,-0.302282,-1.77561,2.17
0,218,0.175971,-0.319746,-1.74647,2.18
0,219,0.172602,-0.336903,-1.71563,2.19
0,220,0.169064,-0.353734,-1.68311,2.2
0,221,0.165362,-0.370223,-1.64895,2.21
0,222,0.161498,-0.386355,-1.61317,2.22
0,223,0.157477,-0.402113,-1.57581,2.23
0,224,0.153303,-0.417482,-1.53691,2.24
0,225,0.148978,-0.432447,-1.49649,2.25
0,226,0.144508,-0.446993,-1.45459,2.26
0,227,0.139897,-0.461105,-1.41126,2.27
0,228,0.135149,-0.474771,-1.36652,2.28
0,229,0.13027,-0.487975,-1.32044,2.29
0,230,0.125263,-0.500705,-1.27303,2.3
0,231,0.120133,-0.512949,-1.22437,2.31
0,232,0.114886,-0.524694,-1.17447,2.32
0,233,0.109527,-0.535928,-1.12341,2.33
0,234,0.10406,-0.54664,-1.07122,2.34
0,235,0.0984923,-0.55682,-1.01795,2.35
0,236,0.0928277,-0.566456,-0.963664,2.36
0,237,0.0870723,-0.57554,-0.908406,2.37
0,238,0.0812317,-0.584063,-0.852231,2.38
0,239,0.0753115,-0.592015,-0.795195,2.39
0,240,0.0693177,-0.599388,-0.737356,2.4
0,241,0.0632559,-0.606176,-0.678769,2.41
0,242,0.0571322,-0.612371,-0.619494,2.42
0,243,0.0509525,-0.617967,-0.559591,2.43
0,244,0.0447229,-0.622958,-0.499119,2.44
0,245,0.0384496,-0.627339,-0.438139,2.45
0,246,0.0321385,-0.631106,-0.376713,2.46
0,247,0.0257959,-0.634255,-0.314903,2.47
0,248,0.0194281,-0.636783,-0.252772,2.48
0,249,0.0130412,-0.638687,-0.190383,2.49
0,250,0.00664158,-0.639965,-0.1278,2.5
0,251,0.000235422,-0.640616,-0.065087,2.51
0,252,-0.00617097,-0.640639,-0.00230714,2.52
0,253,-0.0125713,-0.640034,0.0604751,2.53
0,254,-0.0189593,-0.638802,0.123196,2.54
0,255,-0.0253288,-0.636944,0.18579,2.55
0,256,-0.0316734,-0.634462,0.248195,2.56
0,257,-0.037987,-0.631359,0.310347,2.57
0,258,-0.0442634,-0.627637,0.372183,2.58
0,259,-0.0504964,-0.623301,0.433639,2.59
0,260,-0.0566799,-0.618354,0.494654,2.6
0,261,-0.0628079,-0.612802,0.555166,2.61
0,262,-0.0688744,-0.606651,0.615113,2.62
0,263,-0.0748735,-0.599907,0.674436,2.63
0,264,-0.0807993,-0.592576,0.733075,2.64
0,265,-0.0866459,-0.584667,0.790972,2.65
0,266,-0.0924078,-0.576186,0.848068,2.66
0,267,-0.0980792,-0.567143,0.904308,2.67
0,268,-0.103655,-0.557546,0.959636,2.68
0,269,-0.109129,-0.547406,1.014,2.69
0,270,-0.114496,-0.536733,1.06734,2.7
0,271,-0.119751,-0.525537,1.11961,2.71
0,272,-0.12489,-0.513829,1.17076,2.72
0,273,-0.129906,-0.501622,1.22074,2.73
0,274,-0.134795,-0.488927,1.2695,2.74
0,275,-0.139553,-0.475757,1.317,2.75
0,276,-0.144174,-0.462125,1.36318,2.76
0,277,-0.148655,-0.448045,1.40802,2.77
0,278,-0.15299,-0.43353,1.45145,2.78
0,279,-0.157176,-0.418596,1.49346,2.79
0,280,-0.161208,-0.403256,1.53399,2.8
0,281,-0.165084,-0.387526,1.57301,2.81
0,282,-0.168798,-0.371421,1.61048,2.82
0,283,-0.172347,-0.354957,1.64637,2.83
0,284,-0.175729,-0.338151,1.68065,2.84
0,285,-0.178939,-0.321018,1.71329,2.85
0,286,-0.181975,-0.303575,1.74426,2.86
0,287,-0.184833,-0.28584,1.77353,2.87
0,288,-0.187511,-0.267829,1.80107,2.88
0,289,-0.190007,-0.249561,1.82686,2.89
0,290,-0.192318,-0.231052,1.85089,2.9
0,291,-0.194441,-0.212321,1.87312,2.91
0,292,-0.196375,-0.193385,1.89354,2.92
0,293,-0.198117,-0.174264,1.91213,2.93
0,294,-0.199667,-0.154975,1.92887,2.94
0,295,-0.201022,-0.135538,1.94376,2.95
0,296,-0.202182,-0.11597,1.95678,2.96
0,297,-0.203145,-0.0962907,1.96791,2.97
0,298,-0.20391,-0.0765191,1.97716,2.98
0,299,-0.204477,-0.0566741,1.9845,2.99
0,300,-0.204845,-0.0367747,1.98994,3
0,301,-0.205013,-0.01684,1.99347,3.01
0,302,-0.204982,0.0031108,1.99508,3.02
0,303,-0.204751,0.0230587,1.99479,3.03
0,304,-0.204322,0.0429844,1.99257,3.04
0,305,-0.203693,0.0628689,1.98845,3.05
0,306,-0.202866,0.082693,1.98242,3.06
0,307,-0.201842,0.102438,1.97448,3.07
0,308,-0.200621,0.122084,1.96464,3.08
0,309,-0.199205,0.141613,1.95292,3.09
0,310,-0.197595,0.161007,1.93932,3.1
0,311,-0.195792,0.180245,1.92385,3.11
0,312,-0.193799,0.19931,1.90653,3.12
0,313,-0.191617,0.218184,1.88736,3.13
0,314,-0.189249,0.236848,1.86638,3.14
0,315,-0.186696,0.255284,1.84359,3.15
0,316,-0.183961,0.273474,1.81901,3.16
0,317,-0.181047,0.2914,1.79267,3.17
0,318,-0.177957,0.309046,1.76458,3.18
0,319,-0.174693,0.326394,1.73478,3.19
0,320,-0.171258,0.343427,1.70329,3.2
0,321,-0.167657,0.360129,1.67014,3.21
0,322,-0.163892,0.376482,1.63535,3.22
0,323,-0.159968,0.392472,1.59896,3.23
0,324,-0.155887,0.408082,1.561,3.24
0,325,-0.151654,0.423297,1.52151,3.25
0,326,-0.147273,0.438102,1.48052,3.26
0,327,-0.142748,0.452483,1.43806,3.27
0,328,-0.138084,0.466424,1.39418,3.28
0,329,-0.133285,0.479914,1.34892,3.29
0,330,-0.128355,0.492937,1.30232,3.3
0,331,-0.1233,0.505481,1.25443,3.31
0,332,-0.118125,0.517534,1.20528,3.32
0,333,-0.112834,0.529083,1.15494,3.33
0,334,-0.107433,0.540118,1.10343,3.34
0,335,-0.101927,0.550626,1.05082,3.35
0,336,-0.0963208,0.560597,0.997154,3.36
0,337,-0.0906206,0.570022,0.942485,3.37
0,338,-0.0848317,0.578891,0.886867,3.38
0,339,-0.0789597,0.587195,0.830354,3.39
0,340,-0.0730105,0.594925,0.773002,3.4
0,341,-0.0669898,0.602073,0.714867,3.41
0,342,-0.0609034,0.608633,0.656009,3.42
0,343,-0.0547574,0.614598,0.596485,3.43
0,344,-0.0485578,0.619962,0.536355,3.44
0,345,-0.0423106,0.624719,0.47568,3.45
0,346,-0.036022,0.628864,0.414521,3.46
0,347,-0.0296981,0.632393,0.352939,3.47
0,348,-0.023345,0.635303,0.290998,3.48
0,349,-0.0169691,0.637591,0.228761,3.49
0,350,-0.0105766,0.639254,0.16629,3.5
0,351,-0.0041737,0.64029,0.103649,3.51
0,352,0.00223329,0.640699,0.0409021,3.52
0,353,0.0086381,0.64048,-0.0218863,3.53
0,354,0.0150344,0.639634,-0.0846523,3.54
0,355,0.021416,0.63816,-0.147332,3.55
0,356,0.0277767,0.636062,-0.209861,3.56
0,357,0.0341101,0.63334,-0.272176,3.57
0,358,0.04041,0.629998,-0.334214,3.58
0,359,0.0466704,0.626039,-0.395911,3.59
0,360,0.0528851,0.621467,-0.457204,3.6
0,361,0.059048,0.616286,-0.518032,3.61
0,362,0.065153,0.610503,-0.578334,3.62
0,363,0.0711942,0.604123,-0.638048,3.63
0,364,0.0771657,0.597151,-0.697114,3.64
0,365,0.0830617,0.589597,-0.755474,3.65
0,366,0.0888764,0.581466,-0.813069,3.66
0,367,0.094604,0.572768,-0.869842,3.67
0,368,0.100239,0.56351,-0.925737,3.68
0,369,0.105776,0.553703,-0.980699,3.69
0,370,0.11121,0.543357,-1.03467,3.7
0,371,0.116535,0.53248,-1.08761,3.71
0,372,0.121745,0.521086,-1.13946,3.72
0,373,0.126837,0.509184,-1.19016,3.73
0,374,0.131805,0.496788,-1.23967,3.74
0,375,0.136644,0.483908,-1.28795,3.75
0,376,0.14135,0.470558,-1.33495,3.76
0,377,0.145917,0.456752,-1.38062,3.77
0,378,0.150342,0.442503,-1.42492,3.78
0,379,0.154621,0.427825,-1.46781,3.79
0,380,0.158748,0.412732,-1.50925,3.8
0,381,0.16272,0.39724,-1.5492,3.81
0,382,0.166534,0.381364,-1.58763,3.82
0,383,0.170185,0.365119,-1.6245,3.83
0,384,0.17367,0.348521,-1.65978,3.84
0,385,0.176986,0.331587,-1.69343,3.85
0,386,0.18013,0.314333,-1.72542,3.86
0,387,0.183097,0.296775,-1.75574,3.87
0,388,0.185887,0.278932,-1.78434,3.88
0,389,0.188495,0.26082,-1.81122,3.89
0,390,0.190919,0.242457,-1.83633,3.9
0,391,0.193158,0.22386,-1.85966,3.91
0,392,0.195208,0.205048,-1.8812,3.92
0,393,0.197069,0.186039,-1.90092,3.93
0,394,0.198737,0.166851,-1.9188,3.94
0,395,0.200212,0.147502,-1.93483,3.95
0,396,0.201493,0.128012,-1.949,3.96
0,397,0.202577,0.1084,-1.96129,3.97
0,398,0.203463,0.0886826,-1.9717,3.98
0,399,0.204152,0.0688804,-1.98021,3.99
0,400,0.204642,0.0490122,-1.98682,4
0,401,0.204933,0.029097,-1.99153,4.01
0,402,0.205025,0.00915379,-1.99432,4.02
0,403,0.204917,-0.0107982,-1.9952,4.03
0,404,0.204609,-0.0307398,-1.99416,4.04
0,405,0.204103,-0.0506519,-1.99121,4.05
0,406,0.203398,-0.0705154,-1.98635,4.06
0,407,0.202495,-0.0903112,-1.97958,4.07
0,408,0.201394,-0.11002,-1.97091,4.08
0,409,0.200098,-0.129624,-1.96035,4.09
0,410,0.198607,-0.149103,-1.9479,4.1
0,411,0.196923,-0.168439,-1.93358,4.11
0,412,0.195047,-0.187613,-1.91739,4.12
0,413,0.192981,-0.206606,-1.89936,4.13
0,414,0.190727,-0.225401,-1.87949,4.14
0,415,0.188287,-0.243979,-1.85781,4.15
0,416,0.185664,-0.262322,-1.83433,4.16
0,417,0.182859,-0.280413,-1.80907,4.17
0,418,0.179877,-0.298234,-1.78205,4.18
0,419,0.176719,-0.315767,-1.7533,4.19
